5.1895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
92.2692 	EXP 	fixation: autoDraw = False
92.2692 	EXP 	grating: autoDraw = True
92.5691 	EXP 	grating: autoDraw = False
92.9715 	EXP 	New trial (rep=44, index=0): None
92.9729 	DATA 	Keypress: up
92.9860 	EXP 	fixation: autoDraw = False
92.9860 	EXP 	grating: autoDraw = False
92.9860 	EXP 	grating: ori = 0.0
92.9860 	EXP 	fixation: autoDraw = True
93.9866 	EXP 	fixation: autoDraw = False
93.9866 	EXP 	grating: autoDraw = True
94.2866 	EXP 	grating: autoDraw = False
94.3722 	EXP 	New trial (rep=45, index=0): None
94.3737 	DATA 	Keypress: up
94.3866 	EXP 	fixation: autoDraw = False
94.3866 	EXP 	grating: autoDraw = False
94.3866 	EXP 	grating: ori = -4.0
94.3866 	EXP 	fixation: autoDraw = True
95.3872 	EXP 	fixation: autoDraw = False
95.3872 	EXP 	grating: autoDraw = True
95.6870 	EXP 	grating: autoDraw = False
95.9391 	EXP 	New trial (rep=46, index=0): None
95.9404 	DATA 	Keypress: down
95.9539 	EXP 	fixation: autoDraw = False
95.9539 	EXP 	grating: autoDraw = False
95.9539 	EXP 	grating: ori = 3.0
95.9539 	EXP 	fixation: autoDraw = True
96.9544 	EXP 	fixation: autoDraw = False
96.9544 	EXP 	grating: autoDraw = True
97.2545 	EXP 	grating: autoDraw = False
97.5411 	EXP 	New trial (rep=47, index=0): None
97.5434 	DATA 	Keypress: up
97.5545 	EXP 	fixation: autoDraw = False
97.5545 	EXP 	grating: autoDraw = False
97.5545 	EXP 	grating: ori = 2.0
97.5545 	EXP 	fixation: autoDraw = True
98.5550 	EXP 	fixation: autoDraw = False
98.5550 	EXP 	grating: autoDraw = True
98.8550 	EXP 	grating: autoDraw = False
99.3588 	EXP 	New trial (rep=48, index=0): None
99.3605 	DATA 	Keypress: down
99.3717 	EXP 	fixation: autoDraw = False
99.3717 	EXP 	grating: autoDraw = False
99.3717 	EXP 	grating: ori = 0.0
99.3717 	EXP 	fixation: autoDraw = True
100.3724 	EXP 	fixation: autoDraw = False
100.3724 	EXP 	grating: autoDraw = True
100.6723 	EXP 	grating: autoDraw = False
101.0422 	EXP 	New trial (rep=49, index=0): None
101.0445 	DATA 	Keypress: up
101.0556 	EXP 	fixation: autoDraw = False
101.0556 	EXP 	grating: autoDraw = False
101.0556 	EXP 	grating: ori = 0.0
101.0556 	EXP 	fixation: autoDraw = True
102.0563 	EXP 	fixation: autoDraw = False
102.0563 	EXP 	grating: autoDraw = True
102.3563 	EXP 	grating: autoDraw = False
102.5267 	EXP 	New trial (rep=50, index=0): None
102.5288 	DATA 	Keypress: up
102.5396 	EXP 	fixation: autoDraw = False
102.5396 	EXP 	grating: autoDraw = False
102.5396 	EXP 	grating: ori = 0.0
102.5396 	EXP 	fixation: autoDraw = True
103.5400 	EXP 	fixation: autoDraw = False
103.5400 	EXP 	grating: autoDraw = True
103.8400 	EXP 	grating: autoDraw = False
104.1108 	EXP 	New trial (rep=51, index=0): None
104.1141 	DATA 	Keypress: up
104.1235 	EXP 	fixation: autoDraw = False
104.1235 	EXP 	grating: autoDraw = False
104.1235 	EXP 	grating: ori = -3.0
104.1235 	EXP 	fixation: autoDraw = True
105.1242 	EXP 	fixation: autoDraw = False
105.1242 	EXP 	grating: autoDraw = True
105.4242 	EXP 	grating: autoDraw = False
105.6600 	EXP 	New trial (rep=52, index=0): None
105.6615 	DATA 	Keypress: down
105.6741 	EXP 	fixation: autoDraw = False
105.6741 	EXP 	grating: autoDraw = False
105.6741 	EXP 	grating: ori = 1.0
105.6741 	EXP 	fixation: autoDraw = True
106.6748 	EXP 	fixation: autoDraw = False
106.6748 	EXP 	grating: autoDraw = True
106.9748 	EXP 	grating: autoDraw = False
107.8622 	EXP 	New trial (rep=53, index=0): None
107.8636 	DATA 	Keypress: down
107.8752 	EXP 	fixation: autoDraw = False
107.8752 	EXP 	grating: autoDraw = False
107.8752 	EXP 	grating: ori = -3.0
107.8752 	EXP 	fixation: autoDraw = True
108.8757 	EXP 	fixation: autoDraw = False
108.8757 	EXP 	grating: autoDraw = True
109.1756 	EXP 	grating: autoDraw = False
109.4950 	EXP 	New trial (rep=54, index=0): None
109.4964 	DATA 	Keypress: down
109.5090 	EXP 	fixation: autoDraw = False
109.5090 	EXP 	grating: autoDraw = False
109.5090 	EXP 	grating: ori = 0.0
109.5090 	EXP 	fixation: autoDraw = True
110.5097 	EXP 	fixation: autoDraw = False
110.5097 	EXP 	grating: autoDraw = True
110.8094 	EXP 	grating: autoDraw = False
111.0633 	EXP 	New trial (rep=55, index=0): None
111.0652 	DATA 	Keypress: up
111.0763 	EXP 	fixation: autoDraw = False
111.0763 	EXP 	grating: autoDraw = False
111.0763 	EXP 	grating: ori = 0.0
111.0763 	EXP 	fixation: autoDraw = True
112.0768 	EXP 	fixation: autoDraw = False
112.0768 	EXP 	grating: autoDraw = True
112.3767 	EXP 	grating: autoDraw = False
112.6126 	EXP 	New trial (rep=56, index=0): None
112.6143 	DATA 	Keypress: up
112.6269 	EXP 	fixation: autoDraw = False
112.6269 	EXP 	grating: autoDraw = False
112.6269 	EXP 	grating: ori = -4.0
112.6269 	EXP 	fixation: autoDraw = True
113.6274 	EXP 	fixation: autoDraw = False
113.6274 	EXP 	grating: autoDraw = True
113.9274 	EXP 	grating: autoDraw = False
114.0816 	EXP 	New trial (rep=57, index=0): None
114.0838 	DATA 	Keypress: down
114.0940 	EXP 	fixation: autoDraw = False
114.0940 	EXP 	grating: autoDraw = False
114.0940 	EXP 	grating: ori = 4.0
114.0940 	EXP 	fixation: autoDraw = True
115.0947 	EXP 	fixation: autoDraw = False
115.0947 	EXP 	grating: autoDraw = True
115.3945 	EXP 	grating: autoDraw = False
115.5972 	EXP 	New trial (rep=58, index=0): None
115.5989 	DATA 	Keypress: down
115.6115 	EXP 	fixation: autoDraw = False
115.6115 	EXP 	grating: autoDraw = False
115.6115 	EXP 	grating: ori = 0.0
115.6115 	EXP 	fixation: autoDraw = True
116.6117 	EXP 	fixation: autoDraw = False
116.6117 	EXP 	grating: autoDraw = True
116.9117 	EXP 	grating: autoDraw = False
117.3973 	EXP 	New trial (rep=59, index=0): None
117.3988 	DATA 	Keypress: up
117.4120 	EXP 	fixation: autoDraw = False
117.4120 	EXP 	grating: autoDraw = False
117.4120 	EXP 	grating: ori = 0.0
117.4120 	EXP 	fixation: autoDraw = True
118.4127 	EXP 	fixation: autoDraw = False
118.4127 	EXP 	grating: autoDraw = True
118.7125 	EXP 	grating: autoDraw = False
119.0482 	EXP 	New trial (rep=60, index=0): None
119.0496 	DATA 	Keypress: up
